sku_id,week_start,units_sold,revenue,promo_flag,is_holiday,on_hand_units,on_order_units,lead_time_days,reorder_point,category,subcategory,unit_cost,list_price,launch_date,month,week_of_year,weeks_since_launch,lag_1w,lag_2w,lag_4w,lag_8w,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_8w,momentum_4w,category_code
SKU0001,2024-02-20,119,726564.02,0,0,125.0,102.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,2,8,7,117.0,100.0,110.0,17.0,103.5,13.025615788386627,102.125,44.73553237799744,2.75,0
SKU0001,2024-02-27,131,799830.98,0,0,58.0,104.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,2,9,8,119.0,117.0,87.0,99.0,105.75,15.129992289048497,114.875,28.65278595280296,-18.25,0
SKU0001,2024-03-05,125,763197.5,0,0,52.0,134.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,3,10,9,131.0,119.0,100.0,106.0,116.75,12.763881332363873,118.875,28.352059637957268,-4.25,0
SKU0001,2024-03-12,116,708247.28,0,0,40.0,124.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,3,11,10,125.0,131.0,117.0,181.0,123.0,6.324555320336785,121.25,27.91185104165305,3.5,0
SKU0001,2024-03-19,127,775408.66,0,0,66.0,151.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,3,12,11,116.0,125.0,119.0,110.0,122.75,6.65206734782506,113.125,14.055375179217782,19.25,0
SKU0001,2024-03-26,144,879203.52,0,0,68.0,228.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,3,13,12,127.0,116.0,131.0,87.0,124.75,6.344288770224787,115.25,14.781745499094477,19.0,0
SKU0001,2024-04-02,128,781514.24,0,0,91.0,148.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,4,14,13,144.0,127.0,125.0,100.0,128.0,11.690451944500136,122.375,12.827843600097845,11.25,0
SKU0001,2024-04-09,118,720458.4400000001,0,0,133.0,254.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,4,15,14,128.0,144.0,116.0,117.0,128.75,11.528949070347522,125.875,9.140764269390784,5.75,0
SKU0001,2024-04-16,122,744880.76,0,0,135.0,158.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,4,16,15,118.0,128.0,127.0,119.0,129.25,10.812801055539078,126.0,9.007933011676817,6.5,0
SKU0001,2024-04-23,118,720458.44,0,0,181.0,275.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,4,17,16,122.0,118.0,144.0,131.0,128.0,11.430952132988178,126.375,8.733147035453884,3.25,0
SKU0001,2024-04-30,119,726564.02,0,0,185.0,185.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,4,18,17,118.0,122.0,128.0,125.0,121.5,4.725815626252645,124.75,8.956242834709515,-6.5,0
SKU0001,2024-05-07,121,738775.1799999999,0,0,163.0,0.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,5,19,18,119.0,118.0,118.0,116.0,119.25,1.892969448600181,124.0,9.180725150319777,-9.5,0
SKU0001,2024-05-14,112,683824.96,0,0,147.0,104.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,5,20,19,121.0,119.0,122.0,127.0,120.0,1.8257418583506457,124.625,8.71677364953012,-9.25,0
SKU0001,2024-05-21,103,628874.74,0,0,150.0,269.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,5,21,20,112.0,121.0,118.0,144.0,117.5,3.8729833462074588,122.75,9.691675367477558,-10.5,0
SKU0001,2024-05-28,145,805631.28,1,0,157.0,254.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,5,22,21,103.0,112.0,119.0,128.0,113.75,8.13941029804987,117.625,7.424621202458734,-7.75,0
SKU0001,2024-06-04,184,954912.7,1,0,134.0,0.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,6,23,22,145.0,103.0,121.0,118.0,120.25,18.062391868188453,119.75,11.90138047214931,1.0,0
SKU0001,2024-06-11,80,488446.4,0,0,137.0,176.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,6,24,23,184.0,145.0,112.0,122.0,136.0,36.742346141747674,128.0,25.55665974150098,16.0,0
SKU0001,2024-06-18,89,543396.62,0,0,101.0,146.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,6,25,24,80.0,184.0,103.0,118.0,128.0,46.021733996015406,122.75,30.751306592449968,10.5,0
SKU0001,2024-06-25,99,604452.42,0,0,162.0,270.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,6,26,25,89.0,80.0,145.0,119.0,124.5,48.993196806631566,119.125,33.017041054582705,10.75,0
SKU0001,2024-07-02,82,500657.56,0,0,93.0,104.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,7,27,26,99.0,89.0,184.0,121.0,113.0,47.96526521001074,116.625,33.776312494324856,-7.25,0
SKU0001,2024-07-09,81,494551.98,0,0,113.0,153.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,7,28,27,82.0,99.0,80.0,112.0,87.5,8.582928793055826,111.75,35.80801985190309,-48.5,0
SKU0001,2024-07-16,93,567818.94,0,0,69.0,130.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,7,29,28,81.0,82.0,89.0,103.0,87.75,8.301606270274853,107.875,37.4182442132177,-40.25,0
SKU0001,2024-07-23,102,622769.16,0,0,124.0,286.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,7,30,29,93.0,81.0,99.0,145.0,88.75,8.732124598286497,106.625,37.769744127126025,-35.75,0
SKU0001,2024-07-30,99,604452.42,0,0,135.0,189.0,14.0,132.0,Decor,Wall Art,3151.81,6105.58,2024-01-01,7,31,30,102.0,93.0,82.0,184.0,89.5,9.949874371066205,101.25,34.441461724414154,-23.5,0
